title;year;rate
Six by Sondheim;2013;7.6
Superstar: The Karen Carpenter Story;1988;7.4
Carol;2015;7.4
Dark Waters;2019;7.4
Far from Heaven;2002;7.1
Safe;1995;7.1
Velvet Goldmine;1998;7
Dottie Gets Spanked;1993;6.8
I'm Not There.;2007;6.7
Poison;1991;6.3
Wonderstruck;2017;6.1
The Suicide;1978;6
